iter	MAPE
0	0.3647336976
1	0.3590617726
2	0.3514057632
3	0.3457595316
4	0.340043701
5	0.3336672524
6	0.3292028853
7	0.3234234996
8	0.319504046
9	0.3147244723
10	0.3104977628
11	0.307575997
12	0.3041807914
13	0.3015245241
14	0.2981514229
15	0.2959345458
16	0.2925406187
17	0.2895708379
18	0.2876641568
19	0.2852468701
20	0.2833751107
21	0.2807394775
22	0.2785521846
23	0.2759280977
24	0.2743066079
25	0.2726542119
26	0.2712969217
27	0.2697028294
28	0.2679778939
29	0.2669701176
30	0.2654705729
31	0.2647819007
32	0.2632355149
33	0.2620608284
34	0.2609006426
35	0.260123143
36	0.2590228062
37	0.2577772394
38	0.2568354062
39	0.2559504712
40	0.2549920285
41	0.2540795957
42	0.2531855236
43	0.2526605837
44	0.2518617467
45	0.2501126878
46	0.2492795175
47	0.2480082102
48	0.2472056568
49	0.245953583
50	0.2453778025
51	0.2446387072
52	0.2439116542
53	0.2436992647
54	0.2429463349
55	0.2419029317
56	0.2415592176
57	0.2409584941
58	0.2403607382
59	0.2394097171
60	0.2378317852
61	0.2368662407
62	0.2364566882
63	0.2358391207
64	0.2354390644
65	0.2349816033
66	0.2345074578
67	0.2336766104
68	0.232381024
69	0.2311228319
70	0.2307880583
71	0.2303007564
72	0.2298443865
73	0.2295674579
74	0.228454574
75	0.2280248177
76	0.2271821547
77	0.2267361081
78	0.226203297
79	0.2257872226
80	0.224809023
81	0.2236457646
82	0.2225277678
83	0.2218139941
84	0.2207657273
85	0.2200279811
86	0.2193843935
87	0.2190584182
88	0.2172968723
89	0.2161719094
90	0.2153976347
91	0.2137753225
92	0.2129797955
93	0.2118956364
94	0.2111254243
95	0.2104913461
96	0.2099038085
97	0.2089514316
98	0.2083089211
99	0.207691406
100	0.2071219405
101	0.2063099246
102	0.2052315553
103	0.2045977776
104	0.2038351989
105	0.2033315702
106	0.2030745133
107	0.2015853354
108	0.2009540487
109	0.1994086654
110	0.1981436853
111	0.1976250165
112	0.1967082492
113	0.1961062837
114	0.195684333
115	0.1952853602
116	0.1946519726
117	0.1942719915
118	0.1939059862
119	0.1933070266
120	0.1929482772
121	0.1923754934
122	0.1919536024
123	0.1915971581
124	0.1904297473
125	0.1898702851
126	0.1895654266
127	0.1888923104
128	0.1888638467
129	0.1883943554
130	0.1881297784
131	0.187940763
132	0.1875903047
133	0.1873137799
134	0.1863180068
135	0.185377611
136	0.1849146325
137	0.1846682285
138	0.1842788059
139	0.1840057
140	0.1838146883
141	0.1834521032
142	0.1827091688
143	0.1824797316
144	0.1822073174
145	0.1819305598
146	0.1816557092
147	0.1811879594
148	0.1805408362
149	0.1799370186
150	0.1795107
151	0.1792484224
152	0.1790443644
153	0.1784956181
154	0.1780729037
155	0.1779575422
156	0.1774263289
157	0.1771984775
158	0.1765234639
159	0.1760980226
160	0.1755066263
161	0.1751964645
162	0.1750254895
163	0.1748579677
164	0.1747019379
165	0.1745933235
166	0.1742580581
167	0.1739932925
168	0.1739154485
169	0.1735077218
170	0.173233428
171	0.1730920808
172	0.1728283039
173	0.1723572785
174	0.1719571041
175	0.1718432397
176	0.1717463177
177	0.1714730149
178	0.1712100013
179	0.1710120178
180	0.170914945
181	0.1707811818
182	0.1700886535
183	0.1699607178
184	0.169768507
185	0.1693847434
186	0.1693314888
187	0.1691232901
188	0.1687882333
189	0.1685665466
190	0.1684099971
191	0.1682773242
192	0.1681813229
193	0.1678463514
194	0.167602441
195	0.1674298247
196	0.1671069263
197	0.1670103221
198	0.1668464654
199	0.1667220389
200	0.1666050972
201	0.1664748395
202	0.166172458
