iter	Passed	Remaining
0	64	129086
1	72	72358
2	82	54620
3	89	44624
4	94	37781
5	100	33452
6	106	30251
7	111	27723
8	115	25576
9	120	24073
10	125	22697
11	129	21438
12	133	20475
13	138	19675
14	144	19123
15	148	18361
16	153	17916
17	159	17517
18	163	17082
19	169	16779
20	174	16406
21	178	16082
22	184	15855
23	189	15618
24	193	15291
25	197	14986
26	201	14745
27	206	14575
28	212	14412
29	216	14201
30	222	14141
31	226	13919
32	233	13900
33	241	13942
34	246	13862
35	252	13751
36	258	13693
37	264	13645
38	271	13640
39	279	13719
40	287	13752
41	294	13736
42	305	13918
43	311	13858
44	319	13883
45	327	13918
46	336	13998
47	344	14017
48	351	14013
49	357	13937
50	361	13829
51	369	13847
52	374	13766
53	380	13705
54	387	13708
55	394	13681
56	402	13719
57	409	13714
58	416	13702
59	422	13668
60	430	13689
61	438	13694
62	443	13630
63	449	13590
64	455	13555
65	461	13514
66	467	13478
67	473	13453
68	481	13464
69	488	13455
70	493	13413
71	498	13359
72	504	13323
73	510	13286
74	516	13253
75	525	13301
76	547	13672
77	602	14834
78	634	15430
79	649	15589
80	664	15751
81	681	15943
82	698	16128
83	707	16147
84	716	16147
85	726	16173
86	735	16166
87	740	16098
88	745	16006
89	750	15925
90	755	15846
91	761	15784
92	765	15706
93	771	15636
94	776	15565
95	781	15494
96	786	15424
97	792	15373
98	796	15301
99	801	15236
100	806	15157
101	810	15090
102	816	15032
103	822	14990
104	827	14933
105	832	14870
106	836	14793
107	840	14730
108	846	14677
109	851	14626
110	856	14569
111	861	14518
112	866	14473
113	872	14431
114	877	14377
115	882	14332
116	887	14291
117	892	14239
118	897	14189
119	902	14144
120	907	14097
121	912	14044
122	918	14009
123	923	13972
124	928	13922
125	933	13889
126	939	13849
127	943	13805
128	949	13772
129	955	13743
130	960	13703
131	965	13663
132	970	13629
133	975	13589
134	980	13550
135	986	13514
136	991	13478
137	997	13459
138	1004	13451
139	1010	13423
140	1015	13383
141	1021	13360
142	1026	13330
143	1032	13307
144	1037	13273
145	1043	13248
146	1049	13225
147	1053	13188
148	1058	13148
149	1063	13117
150	1068	13088
151	1074	13067
152	1080	13043
153	1085	13010
154	1091	12990
155	1096	12966
156	1101	12931
157	1106	12900
158	1112	12880
159	1117	12847
160	1121	12815
161	1127	12794
162	1132	12768
163	1138	12743
164	1143	12722
165	1148	12692
166	1154	12669
167	1159	12645
168	1164	12612
169	1168	12576
170	1173	12556
171	1178	12527
172	1184	12504
173	1189	12483
174	1193	12449
175	1197	12412
176	1202	12383
177	1207	12363
178	1213	12349
179	1221	12348
180	1228	12341
181	1234	12327
182	1241	12329
183	1248	12317
184	1255	12313
185	1261	12305
186	1269	12312
187	1277	12314
188	1286	12327
189	1294	12328
190	1300	12313
191	1306	12303
192	1312	12287
193	1318	12272
194	1323	12249
195	1327	12222
196	1333	12205
197	1338	12177
198	1342	12153
199	1348	12134
200	1353	12114
201	1358	12096
202	1364	12074
203	1368	12051
204	1373	12028
205	1379	12011
206	1385	12001
207	1391	11987
208	1397	11974
209	1403	11959
210	1408	11945
211	1413	11925
212	1419	11906
213	1423	11878
214	1428	11857
215	1433	11838
216	1438	11815
217	1442	11790
218	1447	11770
219	1452	11751
220	1457	11730
221	1461	11704
222	1466	11684
223	1470	11661
224	1476	11645
225	1481	11629
226	1486	11613
227	1492	11597
228	1497	11582
229	1502	11565
230	1508	11551
231	1513	11531
232	1519	11522
233	1525	11511
234	1530	11498
235	1535	11478
236	1540	11458
237	1545	11438
238	1550	11422
239	1556	11415
240	1562	11405
241	1568	11396
242	1573	11378
243	1578	11357
244	1582	11335
245	1587	11320
246	1593	11306
247	1598	11289
248	1602	11272
249	1608	11261
250	1613	11241
251	1618	11224
252	1623	11209
253	1628	11196
254	1633	11181
255	1638	11165
256	1643	11146
257	1647	11126
258	1652	11111
259	1658	11100
260	1663	11083
261	1670	11078
262	1675	11064
263	1680	11047
264	1685	11035
265	1689	11016
266	1695	11004
267	1702	11003
268	1708	10993
269	1713	10980
270	1720	10974
271	1725	10964
272	1733	10963
273	1739	10958
274	1745	10946
275	1750	10932
276	1755	10922
277	1760	10904
278	1767	10901
279	1773	10894
280	1778	10878
281	1783	10865
282	1788	10850
283	1793	10835
284	1799	10825
285	1803	10808
286	1808	10792
287	1813	10782
288	1821	10782
289	1828	10780
290	1835	10780
291	1838	10756
292	1844	10745
293	1848	10728
294	1854	10715
295	1857	10695
296	1863	10685
297	1867	10668
298	1872	10651
299	1876	10633
300	1881	10618
301	1885	10603
302	1890	10587
303	1895	10575
304	1898	10552
305	1903	10534
306	1906	10515
307	1911	10498
308	1915	10481
309	1919	10464
310	1924	10450
311	1929	10438
312	1934	10426
313	1940	10417
314	1943	10398
315	1948	10384
316	1953	10369
317	1958	10359
318	1963	10344
319	1967	10327
320	1970	10307
321	1975	10297
322	1980	10283
323	1985	10269
324	1990	10260
325	1995	10246
326	2000	10236
327	2006	10228
328	2011	10214
329	2015	10198
330	2019	10183
331	2023	10166
332	2026	10145
333	2030	10126
334	2034	10113
335	2039	10099
336	2044	10088
337	2048	10072
338	2053	10063
339	2058	10048
340	2062	10034
341	2066	10020
342	2071	10007
343	2075	9993
344	2080	9980
345	2085	9971
346	2092	9969
347	2096	9953
348	2102	9946
349	2107	9934
350	2111	9921
351	2118	9916
352	2122	9903
353	2127	9891
354	2133	9884
355	2137	9870
356	2141	9857
357	2146	9845
358	2151	9833
359	2156	9821
360	2160	9808
361	2164	9793
362	2169	9782
363	2173	9769
364	2178	9757
365	2184	9751
366	2188	9737
367	2192	9725
368	2197	9713
369	2202	9701
370	2206	9689
371	2211	9676
372	2216	9666
373	2220	9653
374	2224	9640
375	2229	9630
376	2233	9615
377	2237	9602
378	2242	9590
379	2247	9581
380	2252	9570
381	2256	9556
382	2262	9552
383	2266	9538
384	2270	9525
385	2276	9519
386	2281	9508
387	2285	9494
388	2289	9483
389	2295	9476
390	2299	9461
391	2303	9449
392	2309	9444
393	2316	9440
394	2321	9431
395	2326	9423
396	2331	9413
397	2336	9404
398	2342	9399
399	2346	9387
400	2351	9376
401	2356	9369
402	2361	9359
403	2366	9348
404	2370	9334
405	2375	9324
406	2380	9315
407	2384	9303
408	2390	9297
409	2394	9284
410	2398	9273
411	2402	9259
412	2407	9250
413	2411	9238
414	2415	9226
415	2420	9216
416	2424	9204
417	2428	9191
418	2433	9180
419	2438	9174
420	2443	9166
421	2448	9156
422	2454	9150
423	2459	9141
424	2463	9129
425	2467	9115
426	2472	9108
427	2477	9098
428	2481	9086
429	2487	9083
430	2491	9071
431	2495	9059
432	2502	9054
433	2506	9045
434	2512	9037
435	2518	9034
436	2522	9021
437	2527	9013
438	2531	9001
439	2541	9010
440	2552	9024
441	2560	9025
442	2567	9022
443	2574	9022
444	2580	9017
445	2585	9008
446	2589	8996
447	2593	8985
448	2599	8981
449	2604	8969
450	2607	8955
451	2613	8951
452	2618	8941
453	2623	8932
454	2627	8922
455	2632	8914
456	2637	8905
457	2641	8892
458	2646	8886
459	2651	8876
460	2655	8864
461	2660	8855
462	2666	8850
463	2670	8841
464	2675	8830
465	2681	8826
466	2686	8817
467	2690	8805
468	2695	8798
469	2699	8787
470	2704	8778
471	2709	8771
472	2714	8761
473	2718	8752
474	2723	8743
475	2728	8735
476	2732	8724
477	2736	8714
478	2742	8707
479	2746	8697
480	2751	8689
481	2756	8679
482	2762	8675
483	2766	8665
484	2770	8655
485	2775	8647
486	2780	8637
487	2784	8628
488	2789	8618
489	2794	8610
490	2799	8602
491	2804	8595
492	2810	8590
493	2818	8591
494	2826	8594
495	2832	8588
496	2837	8581
497	2843	8574
498	2847	8564
499	2850	8552
500	2857	8548
501	2862	8542
502	2868	8535
503	2873	8529
504	2877	8518
505	2881	8508
506	2887	8502
507	2891	8493
508	2896	8483
509	2902	8478
510	2906	8468
511	2910	8459
512	2915	8451
513	2920	8443
514	2924	8432
515	2928	8421
516	2932	8413
517	2937	8404
518	2942	8395
519	2945	8382
520	2951	8378
521	2955	8368
522	2959	8357
523	2964	8349
524	2969	8341
525	2974	8334
526	2978	8326
527	2985	8321
528	2990	8315
529	2995	8308
530	3000	8301
531	3004	8291
532	3009	8282
533	3018	8285
534	3024	8282
535	3033	8284
536	3040	8284
537	3048	8284
538	3056	8284
539	3065	8286
540	3071	8284
541	3077	8277
542	3084	8275
543	3088	8267
544	3093	8258
545	3098	8252
546	3102	8242
547	3106	8232
548	3113	8228
549	3118	8220
550	3121	8210
551	3128	8205
552	3132	8195
553	3136	8187
554	3142	8182
555	3147	8174
556	3156	8177
557	3163	8175
558	3171	8175
559	3179	8176
560	3185	8170
561	3189	8162
562	3196	8158
563	3200	8149
564	3205	8142
565	3213	8140
566	3217	8131
567	3221	8121
568	3227	8117
569	3233	8112
570	3238	8104
571	3244	8100
572	3248	8090
573	3253	8081
574	3258	8075
575	3261	8063
576	3266	8055
577	3271	8047
578	3275	8039
579	3280	8032
580	3285	8025
581	3291	8018
582	3296	8011
583	3299	8001
584	3304	7992
585	3309	7986
586	3314	7979
587	3320	7973
588	3325	7966
589	3331	7961
