           real     pred
17560   122,500   88,016
68388    41,859   39,734
95817   254,700  186,240
58155    30,000   35,861
38429       100   37,891
69829    77,000   57,827
78971    22,900   36,350
11103   138,000   94,639
3874     50,000   49,857
78580    37,000   48,230
85021    65,000   66,759
40203    26,000   44,900
59705    52,140   53,300
55434    66,600   57,119
87922    88,000  111,446
63206    30,000   75,144
46721    50,000   45,024
40401    79,000   71,273
106887   70,000   55,096
69514    41,000   43,678
83628    33,400   33,931
92617    73,900   73,781
42118    59,000   63,311
42531   110,000  152,727
49602    53,000   53,127
383      53,307   55,566
20279    42,000   38,457
42365    85,000   85,636
5482     45,000   81,549
9252    155,000  159,802
87855    50,000   49,673
46629    89,000   98,213
83969    31,200   15,157
56082    40,000   40,058
55790    62,762   53,752
67517    25,900   28,696
54548     6,500   20,377
94200    31,893   32,042
33355    34,003   50,988
25543    59,150   63,299
43304   248,000  260,898
39152    26,500   34,724
54536    73,900   73,781
65686     7,700   16,144
5687     55,800   53,920
96404    42,473   50,147
41907   150,000  187,523
53618    99,000   89,977
28895    88,000   92,163
14647    29,500   26,369
20257    71,500   77,385
61567    46,600   12,106
105684   90,000  124,072
97695    61,200   57,205
30109    88,000   94,261
94495   150,000   47,884
13094   124,000  119,722
45428    57,800   65,305
99838    11,000   20,377
67430    75,000   57,491
49716    36,500   29,431
43341    69,000   60,756
76638    78,800  137,561
71446    60,000   49,587
15254    88,500  121,538
80559   101,785   86,540
56281    43,900   54,774
65797    40,700   34,331
10153    72,000   74,921
38408   260,000  137,690
21147    35,000   34,490
23158    68,400   46,851
6267     40,000   34,980
27716    69,600   69,000
82280    50,000   49,857
72478    35,000   32,618
64012    80,000   70,626
21397    58,000   54,775
97215   124,400   98,093
31214    70,000   76,323
42162    60,000   54,804
18729    31,500   28,139
96536   115,000  142,166
52425    14,000   20,456
27993     6,800   11,938
62664    41,800   55,605
24460    39,900   40,651
96446    55,300  139,735
4891     32,000   38,951
95756   155,000  136,235
27069    52,900   90,322
47747    35,500   35,567
63922    85,000   71,916
50301    95,000   85,171
97649    85,000   85,094
100613  120,000  118,754
48468   150,000  135,784
65807    90,000   83,278
519      37,300   43,995
45338   161,600  111,722
39188     6,000   11,909
75883    77,800   70,477
34403   190,000  188,786
80727    21,100   30,791
37666     7,000   60,161
18823    33,000   25,749
103261    7,000    8,820
67000    42,000   41,038
1397     31,533   40,681
39172   120,000  121,243
55077   150,000  136,638
1662     41,000   37,771
86010    35,000   31,136
62624    50,000   49,857
62179   155,000  146,411
75376    40,500   52,930
41751    37,485   37,033
7438     84,000   45,733
83923     5,000   33,991
69232    51,000   89,970
43324    80,000   97,277
73650    28,000   29,347
52146    28,000   38,902
48308   135,000  138,485
99278    41,700   43,432
100768  186,417  186,050
80487    50,000   49,857
92034    61,000   76,293
39706    37,500   47,324
63072    35,000   48,101
90531    38,500   36,830
58050    72,578   78,284
104075   32,650   40,951
88202    52,000   47,409
84227    22,000   12,842
83233   100,000   98,729
34191   119,000   79,767
93815    11,500   28,801
75282    63,500   13,849
41989    25,900   21,492
37243    59,000   65,731
6177    195,000  240,643
31503    40,000   46,482
17540    48,200   60,900
86555   112,785  107,553
22178    73,000   77,071
75404    42,000   40,628
31216    40,000   52,639
45954    95,000   94,518
71838   114,000   80,846
65668    79,000   87,407
36287   119,900  129,954
95336   125,000  117,018
52177    24,500   36,051
61448    17,500   10,699
65863    24,347   37,365
17688    72,000   62,751
41275    35,000   24,081
61882    76,492   75,113
41418    50,000   49,857
84933    50,000   49,857
70451    22,000   40,589
8160     78,900   84,607
72661   128,000  113,016
90833    72,500   60,364
84139    54,000   53,316
30463    90,000   95,879
75605     3,000   20,377
95962     6,500   15,708
28827     3,800   16,144
38480    60,000   60,756
64340    42,497   55,854
90031    78,000   71,309
74912    54,000   43,477
94464    74,000   50,733
72313    50,000   49,857
79519    50,000   45,832
4005     75,000   81,793
103485   65,000   54,201
77752   130,000  110,526
90412    75,000   57,996
85487    35,500   58,141
104516   42,200   39,392
46848    90,000   86,232
32767    55,000   59,029
13185     3,500   45,155
32704    35,000   42,343
97931   175,000   88,673
9953      4,800    9,768
57948   119,000  120,062
66490    84,000   82,116
86337    63,000   54,449
46328   145,000  133,291
18707    75,500   81,913
13752       100   13,048
13588   102,298  103,143
66634   116,000  111,405
92254   110,000   87,383
30261    49,000   51,110
56791    99,900   98,145
34135    56,698   46,638
30260    90,000   86,921
101006  125,000  126,201
3596    168,000  112,432
62926    80,000   79,866
36721    84,000   97,574
32320   129,000  117,874
3616     64,240   73,561
87219    28,000   35,539
19144   108,000  154,682
48061    79,277   68,402
45485   140,000  125,664
72357    40,000   65,853
98423    63,700   57,071
58595    60,000   16,868
57829    26,000   33,432
23911    63,000   66,527
47439    30,000   38,228
105100   38,000   35,627
63545   143,000  142,923
68603    32,500   31,058
18948    24,000   26,789
21653    38,236   41,570
61532   152,000  162,521
56720    70,000   26,924
21328    35,000   27,444
1814     30,000   51,269
17023    49,000   54,050
103198  150,000  139,257
20819    39,000   42,290
35942    89,000   84,995
92324    52,900   68,802
65265    38,000   47,953
70732    18,000   14,061
42871   108,000  119,811
80863    97,800   19,246
52781    28,000   30,186
101016   25,605   31,487
25600    10,000   68,383
39279    89,000   76,231
96751    15,000   22,695
100586  130,000  169,154
25681     8,500    8,405
38452     5,000   20,204
80696   200,800  150,480
11982    35,900   36,065
98043    30,400   24,304
55421    72,000   59,875
35297    45,822   49,871
43308    90,000   97,049
